frame,time_s,condition,controller,role,actor_id,blueprint,traffic_role,initial_lane_id,lane_name,lane_index,occupied_lane_indices,station_m,local_y_m,speed_mps,longitudinal_accel_mps2,leader_role,idm_gap_m,target_speed_mps,desired_speed_mps,time_headway_s
1251,0.05,empty_shadow,IDEAM,occluder,121,vehicle.carlamotors.firetruck,occluder,-5,centre,1,[1],193.55119973565124,-205.25487586035672,18.43995206668403,0.16185777282598518,lead_centre,117.4974944167254,18.428011157912493,18.207641,1.115859
1251,0.05,empty_shadow,IDEAM,lead_left,122,vehicle.audi.a2,leader,-4,left,0,[0],311.93196923694694,-201.75076133932015,22.10158838814609,1.753539897773106,,,22.04303019748744,24.473662,1.002791
1251,0.05,empty_shadow,IDEAM,lead_centre,123,vehicle.mercedes.coupe_2020,leader,-5,centre,1,[1],317.7326325095448,-205.250613757281,20.705586479896354,0.3297406907632448,,,20.66116039782806,18.774793,0.885101
1251,0.05,empty_shadow,IDEAM,lead_right,124,vehicle.mercedes.coupe_2020,leader,-6,right,2,[2],311.0594471886433,-208.7462681391004,24.918435995684142,1.932208548886893,,,24.823048440741015,24.908478,0.886773
1251,0.05,empty_shadow,IDEAM,rear_centre,125,vehicle.tesla.model3,follower,-5,centre,1,[1],165.88228163685147,-205.24991054797076,17.1683436486942,-0.1162719357634359,occluder,20.975714176396266,17.162307638707624,20.0,1.158223
1251,0.05,empty_shadow,IDEAM,follower_1,126,vehicle.mercedes.coupe_2020,follower,-4,left,0,[0],140.7427329083905,-201.78926343893193,31.962948194457624,1.2478991813269356,ego,33.706235667301414,31.871943272019852,32.0,0.986178
1251,0.05,empty_shadow,IDEAM,follower_2,127,vehicle.tesla.model3,follower,-4,left,0,[0],107.13904943662182,-201.75026619402763,31.38220596220549,0.12809721786415518,follower_1,28.84302090517245,31.32552843593625,32.0,0.912833
1251,0.05,empty_shadow,IDEAM,follower_3,128,vehicle.audi.a2,follower,-4,left,0,[0],72.34774189010821,-201.75032461059982,28.873948837690467,5.642776967219732,follower_2,30.412270381072773,28.611483697925205,31.244948,0.859204
1251,0.05,empty_shadow,IDEAM,follower_4,129,vehicle.nissan.patrol_2021,follower,-4,left,0,[0],35.08823340801189,-201.75006536214914,32.17362033208298,1.9857790080152993,follower_3,32.79221381054214,31.774331381733855,32.0,1.061567
1252,0.1,empty_shadow,IDEAM,occluder,121,vehicle.carlamotors.firetruck,occluder,-5,centre,1,[1],194.47341047425107,-205.25485117404088,18.447552860922464,0.15201588097073923,lead_centre,117.61059265357804,18.435985635797678,18.207641,1.115859
1252,0.1,empty_shadow,IDEAM,lead_left,122,vehicle.audi.a2,leader,-4,left,0,[0],313.0447927938618,-201.75077843880405,22.341727395871704,4.80278015691284,,,22.12982264993521,24.473662,1.002791
1252,0.1,empty_shadow,IDEAM,lead_centre,123,vehicle.mercedes.coupe_2020,leader,-5,centre,1,[1],318.7678804342284,-205.25079465005535,20.70888412642057,0.06595297268707892,,,20.677370386371457,18.774793,0.885101
1252,0.1,empty_shadow,IDEAM,lead_right,124,vehicle.mercedes.coupe_2020,leader,-6,right,2,[2],312.30752491461806,-208.74703255500265,24.987652509783246,1.384332582565636,,,24.918294670851168,24.908478,0.886773
1252,0.1,empty_shadow,IDEAM,rear_centre,125,vehicle.tesla.model3,follower,-5,centre,1,[1],166.74061909335776,-205.2499229102008,17.16567908419879,-0.0532912898820585,occluder,21.039007629744567,17.157171890021523,20.0,1.158223
1252,0.1,empty_shadow,IDEAM,follower_1,126,vehicle.mercedes.coupe_2020,follower,-4,left,0,[0],142.34234152402206,-201.7867646227219,32.01091961684472,0.9596719989775663,ego,33.75973362410983,31.93385496863046,32.0,0.986178
