scope,controller,condition,contrast,metric,n_scene_blocks,n_available,n_missing_or_censored,mean,sample_sd,median,minimum,maximum,bootstrap_mean_ci95_lower,bootstrap_mean_ci95_upper,inference_label
paired_effect,,,ct_v_condition_interaction_mps,ct_v_condition_interaction_mps,5,5,0,-1.820122056513356,0.6563343617896286,-2.096577067666402,-2.5418221008221735,-1.1162287419657666,-2.321954376469236,-1.318289736557476,scene_block_bootstrap_ci
paired_effect,,,dream__true_minus_empty__collision_incidence,dream__true_minus_empty__collision_incidence,5,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scene_block_bootstrap_ci
paired_effect,,,dream__true_minus_empty__ego_maximum_speed_loss_mps,dream__true_minus_empty__ego_maximum_speed_loss_mps,5,5,0,0.410170498838928,0.2713833361063201,0.498224731816741,-0.06429950686026942,0.589860524284088,0.1693994266792437,0.56640180218144,scene_block_bootstrap_ci
paired_effect,,,dream__true_minus_empty__ego_mean_speed_mps,dream__true_minus_empty__ego_mean_speed_mps,5,5,0,-0.06566917583590026,0.04440581731404241,-0.07526891823871296,-0.126929022893858,-0.0187514968858018,-0.09845710280870605,-0.032730186363706795,scene_block_bootstrap_ci
paired_effect,,,dream__true_minus_empty__ego_minimum_speed_mps,dream__true_minus_empty__ego_minimum_speed_mps,5,5,0,-0.410170498838928,0.2713833361063201,-0.498224731816741,-0.589860524284088,0.06429950686026942,-0.56640180218144,-0.1668336448746544,scene_block_bootstrap_ci
paired_effect,,,dream__true_minus_empty__ego_peak_deceleration_mps2,dream__true_minus_empty__ego_peak_deceleration_mps2,5,5,0,0.024720143180744003,0.02304706594454973,0.03368757583402271,0.0,0.0461929447399001,0.006737515166804542,0.042702771194683464,scene_block_bootstrap_ci
paired_effect,,,dream__true_minus_empty__low_level_deadline_miss_fraction,dream__true_minus_empty__low_level_deadline_miss_fraction,5,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scene_block_bootstrap_ci
paired_effect,,,dream__true_minus_empty__low_level_maximum_time_s,dream__true_minus_empty__low_level_maximum_time_s,5,5,0,0.0006567000000007539,0.00047135301526691863,0.0007765000000006239,-8.67000000024376e-05,0.001187500000000341,0.000258579999998787,0.000981720000000763,scene_block_bootstrap_ci
paired_effect,,,dream__true_minus_empty__low_level_mean_time_s,dream__true_minus_empty__low_level_mean_time_s,5,5,0,0.00015228299999985024,0.00010008243263120919,0.0001640366666665117,7.974999999641906e-06,0.0002655249999994483,7.037869166639298e-05,0.00022587066666645222,scene_block_bootstrap_ci
paired_effect,,,dream__true_minus_empty__low_level_p95_time_s,dream__true_minus_empty__low_level_p95_time_s,5,5,0,2.9612999999635223e-05,0.0003883076362652301,8.27099999996864e-05,-0.0005772050000000027,0.0004995149999968971,-0.00030301599999960516,0.00031809499999793536,scene_block_bootstrap_ci
paired_effect,,,dream__true_minus_empty__low_level_stale_plan_fallback_time_s,dream__true_minus_empty__low_level_stale_plan_fallback_time_s,5,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scene_block_bootstrap_ci
paired_effect,,,dream__true_minus_empty__low_level_wall_clock_effective_control_rate_hz,dream__true_minus_empty__low_level_wall_clock_effective_control_rate_hz,5,5,0,0.00026636355438398597,0.0014873800457416361,-0.00020280233383118684,-0.0011294218650821364,0.002498266633883972,-0.0008205211671288737,0.0014718713617649691,scene_block_bootstrap_ci
paired_effect,,,dream__true_minus_empty__maximum_follower_hard_brake_time_s,dream__true_minus_empty__maximum_follower_hard_brake_time_s,5,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scene_block_bootstrap_ci
paired_effect,,,dream__true_minus_empty__maximum_follower_speed_loss_mps,dream__true_minus_empty__maximum_follower_speed_loss_mps,5,5,0,-5.32125454810739e-12,1.189868689514805e-11,0.0,-2.660627274053695e-11,0.0,-1.596376364432217e-11,0.0,scene_block_bootstrap_ci
paired_effect,,,dream__true_minus_empty__minimum_follower_peak_deceleration_mps2,dream__true_minus_empty__minimum_follower_peak_deceleration_mps2,5,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scene_block_bootstrap_ci
paired_effect,,,dream__true_minus_empty__minimum_oriented_box_clearance_m,dream__true_minus_empty__minimum_oriented_box_clearance_m,5,5,0,-0.00034346925861785673,0.0003683268809998052,-0.00028660645400013784,-0.000831264095612072,0.0,-0.0006296172264356858,-5.732129080002757e-05,scene_block_bootstrap_ci
paired_effect,,,dream__true_minus_empty__near_collision_incidence,dream__true_minus_empty__near_collision_incidence,5,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scene_block_bootstrap_ci
paired_effect,,,dream__true_minus_empty__physics_control_loop_deadline_miss_fraction,dream__true_minus_empty__physics_control_loop_deadline_miss_fraction,5,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,scene_block_bootstrap_ci
paired_effect,,,dream__true_minus_empty__physics_control_loop_maximum_cycle_time_s,dream__true_minus_empty__physics_control_loop_maximum_cycle_time_s,5,5,0,0.00773655999999967,0.004064427624279086,0.007987400000001088,0.001182499999998754,0.011539599999998984,0.004304159999999157,0.010518419999999296,scene_block_bootstrap_ci
paired_effect,,,dream__true_minus_empty__physics_control_loop_mean_cycle_time_s,dream__true_minus_empty__physics_control_loop_mean_cycle_time_s,5,5,0,0.0010957111666667321,0.00032132529194897386,0.0009871666666669988,0.0007134024999999149,0.0015252875000003382,0.0008592290000000138,0.0013629105000002536,scene_block_bootstrap_ci
paired_effect,,,dream__true_minus_empty__physics_control_loop_p95_cycle_time_s,dream__true_minus_empty__physics_control_loop_p95_cycle_time_s,5,5,0,0.000978686000000923,0.001296007703186194,0.0013154200000021106,-0.00128791999999933,0.0019219850000032658,-0.0001839629999998843,0.0017327849999988466,scene_block_bootstrap_ci
paired_effect,,,dream__true_minus_empty__planner_completed_requests,dream__true_minus_empty__planner_completed_requests,5,5,0,-0.4,0.5477225575051661,0.0,-1.0,0.0,-0.8,0.0,scene_block_bootstrap_ci
paired_effect,,,dream__true_minus_empty__planner_dropped_request_fraction,dream__true_minus_empty__planner_dropped_request_fraction,5,5,0,0.00830508474576277,0.007928750032957838,0.003954802259887091,0.0,0.016949152542372947,0.002372881355932255,0.01429378531073453,scene_block_bootstrap_ci
